hz,magnitude
25540,2.77755
25560,1.25996
25580,1.23864
25600,2.95272
25620,1.00179
25640,4.46609
25660,1.14677
25680,1.39788
25700,2.13291
25720,1.02082
25740,12.0117
25760,1.07217
25780,1.6423
25800,1.69632
25820,1.06253
25840,16.9225
25860,1.02622
25880,2.04041
25900,1.43218
25920,1.13171
25940,4.994
25960,1.00354
25980,2.76733
26000,1.26133
26020,1.23735
26040,2.96446
26060,1.00171
26080,4.43856
26100,1.14769
26120,1.39594
26140,2.13866
26160,1.02052
26180,11.8103
26200,1.07277
26220,1.63926
26240,1.69964
26260,1.06199
26280,17.3398
26300,1.02656
26320,2.03526
26340,1.43428
26360,1.13086
26380,5.02906
26400,1.00367
26420,2.7572
26440,1.26272
26460,1.23607
26480,2.97629
26500,1.00163
26520,4.41139
26540,1.14861
26560,1.39401
26580,2.14443
26600,1.02023
26620,11.6156
26640,1.07336
26660,1.63623
26680,1.70297
26700,1.06145
26720,17.7783
26740,1.0269
26760,2.03013
26780,1.43638
26800,1.13001
26820,5.06463
26840,1.00379
26860,2.74714
26880,1.26411
26900,1.23479
26920,2.98823
26940,1.00155
26960,4.38455
26980,1.14954
27000,1.39208
27020,2.15025
27040,1.01994
27060,11.4272
27080,1.07396
27100,1.63322
27120,1.70632
27140,1.06092
27160,18.2396
27180,1.02724
27200,2.02504
27220,1.4385
27240,1.12917
27260,5.10072
27280,1.00391
27300,2.73717
27320,1.2655
27340,1.23352
27360,3.00027
27380,1.00147
27400,4.35805
27420,1.15047
27440,1.39016
27460,2.1561
27480,1.01965
27500,11.2448
27520,1.07456
27540,1.63022
27560,1.70969
27580,1.06038
27600,18.7255
27620,1.02759
27640,2.01997
27660,1.44062
27680,1.12832
27700,5.13733
27720,1.00404
27740,2.72727
27760,1.26691
27780,1.23225
27800,3.01242
27820,1.00139
27840,4.33187
27860,1.1514
27880,1.38825
27900,2.16198
27920,1.01936
27940,11.0682
27960,1.07516
27980,1.62724
28000,1.71308
28020,1.05985
28040,19.2381
28060,1.02793
28080,2.01494
28100,1.44275
28120,1.12749
28140,5.17449
28160,1.00417
28180,2.71745
28200,1.26831
28220,1.23099
28240,3.02466
28260,1.00132
28280,4.30602
28300,1.15234
28320,1.38635
28340,2.16791
28360,1.01907
28380,10.8971
28400,1.07577
28420,1.62427
28440,1.71648
28460,1.05932
28480,19.7795
28500,1.02828
28520,2.00993
28540,1.4449
28560,1.12665
28580,5.21219
28600,1.0043
28620,2.7077
28640,1.26973
28660,1.22973
28680,3.03702
28700,1.00124
28720,4.28048
28740,1.15328
28760,1.38446
28780,2.17387
28800,1.01879
28820,10.7312
28840,1.07638
28860,1.62131
28880,1.7199
28900,1.05879
28920,20.3523
28940,1.02864
28960,2.00495
28980,1.44705
29000,1.12582
29020,5.25046
29040,1.00444
29060,2.69803
29080,1.27114
29100,1.22848
29120,3.04948
29140,1.00117
29160,4.25525
29180,1.15423
29200,1.38258
29220,2.17986
29240,1.01851
29260,10.5703
29280,1.07699
29300,1.61837
29320,1.72334
29340,1.05827
29360,20.9594
29380,1.02899
29400,2
29420,1.44921
29440,1.12499
29460,5.28931
29480,1.00457
29500,2.68844
29520,1.27257
29540,1.22724
29560,3.06205
29580,1.00111
29600,4.23033
29620,1.15518
29640,1.3807
29660,2.1859
29680,1.01823
29700,10.4142
29720,1.07761
29740,1.61545
29760,1.7268
29780,1.05775
29800,21.6038
29820,1.02935
29840,1.99508
29860,1.45138
29880,1.12417
29900,5.32875
29920,1.00471
29940,2.67892
29960,1.274
29980,1.226
30000,3.07473
30020,1.00104
30040,4.2057
30060,1.15613
30080,1.37883
30100,2.19197
30120,1.01795
30140,10.2626
30160,1.07822
30180,1.61253
30200,1.73027
30220,1.05723
30240,22.2892
30260,1.02971
30280,1.99019
30300,1.45356
30320,1.12335
30340,5.36879
30360,1.00485
30380,2.66947
30400,1.27543
30420,1.22476
30440,3.08753
30460,1.00098
30480,4.18137
30500,1.15709
30520,1.37697
30540,2.19808
30560,1.01767
30580,10.1154
30600,1.07885
30620,1.60963
30640,1.73376
30660,1.05672
30680,23.0195
30700,1.03007
30720,1.98532
30740,1.45575
30760,1.12253
30780,5.40945
30800,1.00499
30820,2.66009
30840,1.27687
30860,1.22353
30880,3.10043
30900,1.00091
30920,4.15733
30940,1.15805
30960,1.37512
30980,2.20423
31000,1.0174
31020,9.97241
31040,1.07947
31060,1.60675
31080,1.73727
31100,1.0562
31120,23.7993
31140,1.03043
31160,1.98048
31180,1.45795
31200,1.12172
31220,5.45074
31240,1.00514
31260,2.65078
31280,1.27832
31300,1.2223
31320,3.11346
31340,1.00085
31360,4.13357
31380,1.15901
31400,1.37327
31420,2.21042
31440,1.01713
31460,9.83341
31480,1.0801
31500,1.60388
31520,1.74079
